gt_image_name,pred_hpx,pred_hm,n_pred,gt_hpx,gt_hm,n_gt
img_17534.png,3.1984677125136813,0.13043962417920008,2741,9.008474576271187,0.3706889706863523,118
img_17535.png,3.2793614595210947,0.13813519588683854,1754,9.676190476190476,0.3564395621907532,105
img_17536.png,3.340878828229028,0.15762466537155906,1502,10.25,0.3790651666417655,168
img_17537.png,3.1666666666666665,0.0915637328594797,6,10.51685393258427,0.33297018162198644,89
img_17538.png,3.345049292756108,0.16799677283827957,2333,9.864197530864198,0.4542812909118546,162
img_17539.png,3.499080036798528,0.11277957022220211,2174,8.2,0.3231263930154429,130
img_17540.png,3.430772523004494,0.14889582921991146,4673,9.653179190751445,0.4206764053446891,173
img_17541.png,3.478020854630955,0.15732850912237684,4891,9.898477157360405,0.4255016863162702,197
img_17542.png,3.494949494949495,0.16522180132856223,4059,9.98974358974359,0.4347823788031954,195
img_17543.png,3.4963455149501663,0.17786431168932856,3010,10.64186046511628,0.44674091924621556,215
img_17544.png,3.5257563368765332,0.16657821267498352,1223,9.644171779141104,0.37596908657796796,163
img_17545.png,3.4776119402985075,0.1688624571496624,2077,9.838235294117647,0.39689089430000674,204
img_17546.png,3.176470588235294,0.1352373248239367,17,8.981132075471699,0.3657020583552772,106
img_17548.png,3.175,0.16161953352050223,40,9.25,0.33011608371129764,64
img_17549.png,3.4576719576719577,0.1806989618421117,378,9.509615384615385,0.348822980367944,104
img_17550.png,3.4627659574468086,0.17971100130848675,752,10.9,0.3800098509886939,80
img_17551.png,3.432657926102503,0.1786168149422764,839,7.891304347826087,0.3066729143251104,46
img_17552.png,4.0,0.1986877666451919,1,9.325301204819278,0.33493992343501205,83
img_17553.png,3.375,0.18342901823987331,112,9.010526315789473,0.3176418470877089,95
img_17554.png,3.435828877005348,0.19420364254333972,748,9.857142857142858,0.3485075599259392,91
img_17555.png,3.4094707520891365,0.18755788714939,1436,9.177777777777777,0.35798481646324914,90
img_17556.png,3.4498381877022655,0.18594496030100574,1545,7.609375,0.321411405896581,64
img_17557.png,3.4189085318985395,0.19205003508889854,1301,8.097222222222221,0.335241527774015,72
img_17558.png,3.363929146537842,0.19243561861301126,621,8.644444444444444,0.33584451042294394,90
img_17559.png,3.346689895470383,0.19248620195453117,574,8.043478260869565,0.3142690063947287,46
img_17560.png,3.2545045045045047,0.19732221247240592,444,7.983333333333333,0.3884821863725252,60
img_17561.png,3.415682967959528,0.18436664116572157,1186,7.0,0.34307233334090736,26
img_17562.png,3.32555879494655,0.18692801043680204,1029,9.436363636363636,0.44847510388401185,55
img_17563.png,3.3395061728395063,0.18300174176465062,1458,9.35483870967742,0.4460366112732181,93
img_17564.png,3.3394664213431464,0.18906237889817679,1087,8.067796610169491,0.4042944825027877,59
img_17565.png,3.411978221415608,0.1804166931765357,1102,8.803921568627452,0.3074108399599507,51
img_17566.png,3.3474654377880184,0.18913224498526246,1085,8.454545454545455,0.4014718825271726,55
img_17567.png,3.2635658914728682,0.19497008352278908,387,9.258064516129032,0.45217787596138265,62
img_17568.png,3.3937644341801385,0.17785423401121858,1732,8.556701030927835,0.38009767339860023,97
img_17569.png,3.380664652567976,0.17801114886757824,1324,8.602941176470589,0.3558363237508201,68
img_17570.png,3.3610062893081762,0.17566704031198394,1590,10.44047619047619,0.45513180294495087,84
