model_name,model_path,MAE_wave_count,RMSE_wave_count,precision_iou>=0.50,recall_iou>=0.50,mean_pairwise_iou,duplicate_ratio,TP,FP,FN,n_images_total,n_images_with_gt,n_images_no_gt,yolo_precision,yolo_recall,yolo_mAP50,yolo_mAP50-95,runtime_sec,runtime_sec_yolo_val_only
yolov8n_1000_50e,C:\Users\A\Documents\XX_GitHub_Repo\data-waves\img_labeling\02_waves_yolov8n-1000_50e.pt,425.0433121019108,598.1179628235799,0.0177295719526129,0.0313117729837504,0.0046835691479292,0.0458504829373709,53112,2942561,1643119,3140,2989,151,0.017097542618254618,0.03149865790685349,0.014042803438881223,0.002798902412210414,6973.24,398.92
yolov8n_1000_150e,C:\Users\A\Documents\XX_GitHub_Repo\data-waves\img_labeling\02_waves_yolov8n-1000_150e.pt,701.9875796178344,973.8095206374172,0.0104245781054545,0.0230617174193844,0.0030402787002193,0.031043792882066,39118,3713360,1657113,3140,2989,151,0.010574605865988788,0.02372966889533324,0.0061600942271432015,0.0014714646124342379,8940.05,402.04
yolov8s_1000_150e,C:\Users\A\Documents\XX_GitHub_Repo\data-waves\img_labeling\03_waves_yolov8s-1000_150e.pt,627.5942675159235,863.8575279885106,0.0170028049977558,0.0364254632771125,0.0063727121981789,0.0482293550338033,61786,3572085,1634445,3140,2989,151,0.017053451675474642,0.03762930874391519,0.011662379342267097,0.0034552539951786766,12148.36,2011.34
yolov8s_5000_150e,C:\Users\A\Documents\XX_GitHub_Repo\data-waves\img_labeling\04_waves_yolov8s-5000_150e.pt,604.38025477707,836.2074130140307,0.01742893932325,0.0361407143248767,0.0042389411877515,0.034651305749366,61303,3456008,1634928,3140,2989,151,0.01861142593268744,0.03927649005353634,0.012361205445492646,0.0029506184879767284,9945.64,1943.55
