timestamp_cet,lat_deg,lon_deg
2025-08-24 14:20:00+02:00,46.698499219,7.735779723
2025-08-24 14:30:00+02:00,46.696665259,7.736364864
2025-08-24 14:40:00+02:00,46.695113601,7.736917231
2025-08-24 14:50:00+02:00,46.697737556,7.736408534
2025-08-24 15:00:00+02:00,46.698989467,7.735450105
2025-08-24 15:10:00+02:00,46.697171107,7.735364316
2025-08-24 15:20:00+02:00,46.695057799,7.736061083
2025-08-24 15:30:00+02:00,46.694721747,7.736508111
2025-08-24 15:40:00+02:00,46.696185982,7.736602365
2025-08-24 15:50:00+02:00,46.699792212,7.735499851
