timestamp_utc,lat_deg,lon_deg,altitude_m,speed_m_s,heart_rate_bpm,heading_deg,timestamp_cet
2025-08-31 04:41:11+00:00,46.700264448,7.735463055,,0.475363636,98.000000000,,2025-08-31 06:41:11+02:00
2025-08-31 04:41:12+00:00,46.700264851,7.735462569,,0.442090909,98.600000000,,2025-08-31 06:41:12+02:00
2025-08-31 04:41:13+00:00,46.700265253,7.735462083,,0.408818182,99.200000000,,2025-08-31 06:41:13+02:00
2025-08-31 04:41:14+00:00,46.700265655,7.735461596,,0.375545455,99.800000000,,2025-08-31 06:41:14+02:00
2025-08-31 04:41:15+00:00,46.700266058,7.735461110,,0.342272727,100.400000000,,2025-08-31 06:41:15+02:00
2025-08-31 04:41:16+00:00,46.700266460,7.735460624,,0.309000000,101.000000000,,2025-08-31 06:41:16+02:00
2025-08-31 04:41:17+00:00,46.700265063,7.735457746,,0.306951613,101.333333333,,2025-08-31 06:41:17+02:00
2025-08-31 04:41:18+00:00,46.700263666,7.735454869,,0.304903226,101.666666667,,2025-08-31 06:41:18+02:00
2025-08-31 04:41:19+00:00,46.700262269,7.735451991,,0.302854839,102.000000000,,2025-08-31 06:41:19+02:00
2025-08-31 04:41:20+00:00,46.700263778,7.735450971,,0.300806452,103.000000000,,2025-08-31 06:41:20+02:00
2025-08-31 04:41:21+00:00,46.700265286,7.735449951,,0.298758065,104.000000000,,2025-08-31 06:41:21+02:00
2025-08-31 04:41:22+00:00,46.700266795,7.735448931,,0.296709677,105.000000000,,2025-08-31 06:41:22+02:00
2025-08-31 04:41:23+00:00,46.700268304,7.735447912,,0.294661290,106.000000000,,2025-08-31 06:41:23+02:00
2025-08-31 04:41:24+00:00,46.700269813,7.735446892,,0.292612903,107.000000000,,2025-08-31 06:41:24+02:00
2025-08-31 04:41:25+00:00,46.700271321,7.735445872,,0.290564516,108.000000000,,2025-08-31 06:41:25+02:00
2025-08-31 04:41:26+00:00,46.700273417,7.735445788,,0.288516129,108.000000000,,2025-08-31 06:41:26+02:00
2025-08-31 04:41:27+00:00,46.700273417,7.735445788,,0.286467742,107.250000000,,2025-08-31 06:41:27+02:00
2025-08-31 04:41:28+00:00,46.700273417,7.735445788,,0.284419355,106.500000000,,2025-08-31 06:41:28+02:00
2025-08-31 04:41:29+00:00,46.700273417,7.735445788,,0.282370968,105.750000000,,2025-08-31 06:41:29+02:00
2025-08-31 04:41:30+00:00,46.700273417,7.735445788,,0.280322581,105.000000000,,2025-08-31 06:41:30+02:00
2025-08-31 04:41:31+00:00,46.700273417,7.735445788,,0.278274194,104.250000000,,2025-08-31 06:41:31+02:00
2025-08-31 04:41:32+00:00,46.700273417,7.735445788,,0.276225806,103.500000000,,2025-08-31 06:41:32+02:00
2025-08-31 04:41:33+00:00,46.700273417,7.735445788,,0.274177419,102.750000000,,2025-08-31 06:41:33+02:00
2025-08-31 04:41:34+00:00,46.700273417,7.735445788,,0.272129032,102.000000000,,2025-08-31 06:41:34+02:00
2025-08-31 04:41:35+00:00,46.700273417,7.735445788,,0.270080645,102.000000000,,2025-08-31 06:41:35+02:00
2025-08-31 04:41:36+00:00,46.700273417,7.735445788,,0.268032258,102.000000000,,2025-08-31 06:41:36+02:00
2025-08-31 04:41:37+00:00,46.700273417,7.735445788,,0.265983871,102.000000000,,2025-08-31 06:41:37+02:00
2025-08-31 04:41:38+00:00,46.700273417,7.735445788,,0.263935484,102.000000000,,2025-08-31 06:41:38+02:00
2025-08-31 04:41:39+00:00,46.700273417,7.735445788,,0.261887097,102.000000000,,2025-08-31 06:41:39+02:00
2025-08-31 04:41:40+00:00,46.700273417,7.735445788,,0.259838710,102.000000000,,2025-08-31 06:41:40+02:00
2025-08-31 04:41:41+00:00,46.700273417,7.735445788,,0.257790323,99.000000000,,2025-08-31 06:41:41+02:00
2025-08-31 04:41:42+00:00,46.700273417,7.735445788,,0.255741935,97.500000000,,2025-08-31 06:41:42+02:00
2025-08-31 04:41:43+00:00,46.700273417,7.735445788,,0.253693548,96.000000000,,2025-08-31 06:41:43+02:00
2025-08-31 04:41:44+00:00,46.700273417,7.735445788,,0.251645161,96.428571429,,2025-08-31 06:41:44+02:00
2025-08-31 04:41:45+00:00,46.700273417,7.735445788,,0.249596774,96.857142857,,2025-08-31 06:41:45+02:00
2025-08-31 04:41:46+00:00,46.700273417,7.735445788,,0.247548387,97.285714286,,2025-08-31 06:41:46+02:00
2025-08-31 04:41:47+00:00,46.700273417,7.735445788,,0.245500000,97.714285714,,2025-08-31 06:41:47+02:00
2025-08-31 04:41:48+00:00,46.700273417,7.735445788,,0.243451613,98.142857143,,2025-08-31 06:41:48+02:00
2025-08-31 04:41:49+00:00,46.700273417,7.735445788,,0.241403226,98.571428571,,2025-08-31 06:41:49+02:00
2025-08-31 04:41:50+00:00,46.700273417,7.735445788,,0.239354839,99.000000000,,2025-08-31 06:41:50+02:00
2025-08-31 04:41:51+00:00,46.700273417,7.735445788,,0.237306452,102.000000000,,2025-08-31 06:41:51+02:00
2025-08-31 04:41:52+00:00,46.700273417,7.735445788,,0.235258065,103.500000000,,2025-08-31 06:41:52+02:00
2025-08-31 04:41:53+00:00,46.700273417,7.735445788,,0.233209677,105.000000000,,2025-08-31 06:41:53+02:00
2025-08-31 04:41:54+00:00,46.700273417,7.735445788,,0.231161290,104.785714286,,2025-08-31 06:41:54+02:00
2025-08-31 04:41:55+00:00,46.700273417,7.735445788,,0.229112903,104.571428571,,2025-08-31 06:41:55+02:00
2025-08-31 04:41:56+00:00,46.700273417,7.735445788,,0.227064516,104.357142857,,2025-08-31 06:41:56+02:00
2025-08-31 04:41:57+00:00,46.700273417,7.735445788,,0.225016129,104.142857143,,2025-08-31 06:41:57+02:00
2025-08-31 04:41:58+00:00,46.700273417,7.735445788,,0.222967742,103.928571429,,2025-08-31 06:41:58+02:00
2025-08-31 04:41:59+00:00,46.700273417,7.735445788,,0.220919355,103.714285714,,2025-08-31 06:41:59+02:00
2025-08-31 04:42:00+00:00,46.700273417,7.735445788,,0.218870968,103.500000000,,2025-08-31 06:42:00+02:00
2025-08-31 04:42:01+00:00,46.700273417,7.735445788,,0.216822581,103.285714286,,2025-08-31 06:42:01+02:00
2025-08-31 04:42:02+00:00,46.700273417,7.735445788,,0.214774194,103.071428571,,2025-08-31 06:42:02+02:00
2025-08-31 04:42:03+00:00,46.700273417,7.735445788,,0.212725806,102.857142857,,2025-08-31 06:42:03+02:00
2025-08-31 04:42:04+00:00,46.700273417,7.735445788,,0.210677419,102.642857143,,2025-08-31 06:42:04+02:00
2025-08-31 04:42:05+00:00,46.700273417,7.735445788,,0.208629032,102.428571429,,2025-08-31 06:42:05+02:00
2025-08-31 04:42:06+00:00,46.700273417,7.735445788,,0.206580645,102.214285714,,2025-08-31 06:42:06+02:00
2025-08-31 04:42:07+00:00,46.700273417,7.735445788,,0.204532258,102.000000000,,2025-08-31 06:42:07+02:00
2025-08-31 04:42:08+00:00,46.700273417,7.735445788,,0.202483871,102.000000000,,2025-08-31 06:42:08+02:00
2025-08-31 04:42:09+00:00,46.700273300,7.735442972,,0.200435484,101.900000000,,2025-08-31 06:42:09+02:00
2025-08-31 04:42:10+00:00,46.700273182,7.735440155,,0.198387097,101.800000000,,2025-08-31 06:42:10+02:00
2025-08-31 04:42:11+00:00,46.700273065,7.735437339,,0.196338710,101.700000000,,2025-08-31 06:42:11+02:00
2025-08-31 04:42:12+00:00,46.700272948,7.735434523,,0.194290323,101.600000000,,2025-08-31 06:42:12+02:00
2025-08-31 04:42:13+00:00,46.700272830,7.735431707,,0.192241935,101.500000000,,2025-08-31 06:42:13+02:00
2025-08-31 04:42:14+00:00,46.700272713,7.735428890,,0.190193548,101.400000000,,2025-08-31 06:42:14+02:00
2025-08-31 04:42:15+00:00,46.700272596,7.735426074,,0.188145161,101.300000000,,2025-08-31 06:42:15+02:00
2025-08-31 04:42:16+00:00,46.700272478,7.735423258,,0.186096774,101.200000000,,2025-08-31 06:42:16+02:00
2025-08-31 04:42:17+00:00,46.700272361,7.735420441,,0.184048387,101.100000000,,2025-08-31 06:42:17+02:00
2025-08-31 04:42:18+00:00,46.700272243,7.735417625,,0.182000000,101.000000000,,2025-08-31 06:42:18+02:00
2025-08-31 04:42:19+00:00,46.700271782,7.735405874,,0.254400000,101.200000000,,2025-08-31 06:42:19+02:00
2025-08-31 04:42:20+00:00,46.700271321,7.735394122,,0.326800000,101.400000000,,2025-08-31 06:42:20+02:00
2025-08-31 04:42:21+00:00,46.700270860,7.735382371,,0.399200000,101.600000000,,2025-08-31 06:42:21+02:00
2025-08-31 04:42:22+00:00,46.700270399,7.735370619,,0.471600000,101.800000000,,2025-08-31 06:42:22+02:00
2025-08-31 04:42:23+00:00,46.700269938,7.735358868,,0.544000000,102.000000000,,2025-08-31 06:42:23+02:00
2025-08-31 04:42:24+00:00,46.700269477,7.735347116,,0.616400000,102.200000000,,2025-08-31 06:42:24+02:00
2025-08-31 04:42:25+00:00,46.700269016,7.735335365,,0.688800000,102.400000000,,2025-08-31 06:42:25+02:00
2025-08-31 04:42:26+00:00,46.700268555,7.735323614,,0.761200000,102.600000000,,2025-08-31 06:42:26+02:00
2025-08-31 04:42:27+00:00,46.700268094,7.735311862,,0.833600000,102.800000000,,2025-08-31 06:42:27+02:00
2025-08-31 04:42:28+00:00,46.700267633,7.735300111,,0.906000000,103.000000000,,2025-08-31 06:42:28+02:00
2025-08-31 04:42:29+00:00,46.700267440,7.735294160,,0.881277778,102.923076923,,2025-08-31 06:42:29+02:00
2025-08-31 04:42:30+00:00,46.700267247,7.735288208,,0.856555556,102.846153846,,2025-08-31 06:42:30+02:00
2025-08-31 04:42:31+00:00,46.700267053,7.735282257,,0.831833333,102.769230769,,2025-08-31 06:42:31+02:00
2025-08-31 04:42:32+00:00,46.700266860,7.735276306,,0.807111111,102.692307692,,2025-08-31 06:42:32+02:00
2025-08-31 04:42:33+00:00,46.700266666,7.735270355,,0.782388889,102.615384615,,2025-08-31 06:42:33+02:00
2025-08-31 04:42:34+00:00,46.700266473,7.735264404,,0.757666667,102.538461538,,2025-08-31 06:42:34+02:00
2025-08-31 04:42:35+00:00,46.700266279,7.735258453,,0.732944444,102.461538462,,2025-08-31 06:42:35+02:00
2025-08-31 04:42:36+00:00,46.700266086,7.735252501,,0.708222222,102.384615385,,2025-08-31 06:42:36+02:00
2025-08-31 04:42:37+00:00,46.700265893,7.735246550,,0.683500000,102.307692308,,2025-08-31 06:42:37+02:00
2025-08-31 04:42:38+00:00,46.700265699,7.735240599,,0.658777778,102.230769231,,2025-08-31 06:42:38+02:00
2025-08-31 04:42:39+00:00,46.700265506,7.735234648,,0.634055556,102.153846154,,2025-08-31 06:42:39+02:00
2025-08-31 04:42:40+00:00,46.700265312,7.735228697,,0.609333333,102.076923077,,2025-08-31 06:42:40+02:00
2025-08-31 04:42:41+00:00,46.700265119,7.735222746,,0.584611111,102.000000000,,2025-08-31 06:42:41+02:00
2025-08-31 04:42:42+00:00,46.700263677,7.735216526,,0.559888889,102.600000000,,2025-08-31 06:42:42+02:00
2025-08-31 04:42:43+00:00,46.700262235,7.735210307,,0.535166667,103.200000000,,2025-08-31 06:42:43+02:00
2025-08-31 04:42:44+00:00,46.700260794,7.735204088,,0.510444444,103.800000000,,2025-08-31 06:42:44+02:00
2025-08-31 04:42:45+00:00,46.700259352,7.735197868,,0.485722222,104.400000000,,2025-08-31 06:42:45+02:00
2025-08-31 04:42:46+00:00,46.700257910,7.735191649,,0.461000000,105.000000000,,2025-08-31 06:42:46+02:00
2025-08-31 04:42:47+00:00,46.700252127,7.735179118,,0.529000000,105.000000000,,2025-08-31 06:42:47+02:00
2025-08-31 04:42:48+00:00,46.700246343,7.735166587,,0.597000000,105.000000000,,2025-08-31 06:42:48+02:00
2025-08-31 04:42:49+00:00,46.700236893,7.735158897,,0.660000000,106.000000000,,2025-08-31 06:42:49+02:00
2025-08-31 04:42:50+00:00,46.700227442,7.735151206,,0.723000000,107.000000000,,2025-08-31 06:42:50+02:00
2025-08-31 04:42:51+00:00,46.700217992,7.735143516,,0.786000000,108.000000000,,2025-08-31 06:42:51+02:00
2025-08-31 04:42:52+00:00,46.700208541,7.735135825,,0.849000000,109.000000000,,2025-08-31 06:42:52+02:00
2025-08-31 04:42:53+00:00,46.700197617,7.735130042,,0.934333333,109.666666667,,2025-08-31 06:42:53+02:00
2025-08-31 04:42:54+00:00,46.700186692,7.735124258,,1.019666667,110.333333333,,2025-08-31 06:42:54+02:00
2025-08-31 04:42:55+00:00,46.700175768,7.735118475,,1.105000000,111.000000000,,2025-08-31 06:42:55+02:00
2025-08-31 04:42:56+00:00,46.700162971,7.735112971,,1.167000000,110.000000000,,2025-08-31 06:42:56+02:00
2025-08-31 04:42:57+00:00,46.700150175,7.735107467,,1.229000000,109.000000000,,2025-08-31 06:42:57+02:00
2025-08-31 04:42:58+00:00,46.700137379,7.735101962,,1.291000000,108.000000000,,2025-08-31 06:42:58+02:00
2025-08-31 04:42:59+00:00,46.700125225,7.735096808,,1.312000000,106.000000000,,2025-08-31 06:42:59+02:00
2025-08-31 04:43:00+00:00,46.700113071,7.735091653,,1.333000000,104.000000000,,2025-08-31 06:43:00+02:00
2025-08-31 04:43:01+00:00,46.700103063,7.735085400,,1.335400000,104.200000000,,2025-08-31 06:43:01+02:00
2025-08-31 04:43:02+00:00,46.700093055,7.735079147,,1.337800000,104.400000000,,2025-08-31 06:43:02+02:00
2025-08-31 04:43:03+00:00,46.700083047,7.735072894,,1.340200000,104.600000000,,2025-08-31 06:43:03+02:00
2025-08-31 04:43:04+00:00,46.700073039,7.735066641,,1.342600000,104.800000000,,2025-08-31 06:43:04+02:00
2025-08-31 04:43:05+00:00,46.700063031,7.735060388,,1.345000000,105.000000000,,2025-08-31 06:43:05+02:00
2025-08-31 04:43:06+00:00,46.700053081,7.735052964,,1.329428571,105.142857143,,2025-08-31 06:43:06+02:00
2025-08-31 04:43:07+00:00,46.700043130,7.735045540,,1.313857143,105.285714286,,2025-08-31 06:43:07+02:00
2025-08-31 04:43:08+00:00,46.700033180,7.735038116,,1.298285714,105.428571429,,2025-08-31 06:43:08+02:00
2025-08-31 04:43:09+00:00,46.700023229,7.735030692,,1.282714286,105.571428571,,2025-08-31 06:43:09+02:00
2025-08-31 04:43:10+00:00,46.700013279,7.735023268,,1.267142857,105.714285714,,2025-08-31 06:43:10+02:00
2025-08-31 04:43:11+00:00,46.700003328,7.735015844,,1.251571429,105.857142857,,2025-08-31 06:43:11+02:00
2025-08-31 04:43:12+00:00,46.699993378,7.735008420,,1.236000000,106.000000000,,2025-08-31 06:43:12+02:00
2025-08-31 04:43:13+00:00,46.699979715,7.735006133,,1.263571429,105.571428571,,2025-08-31 06:43:13+02:00
2025-08-31 04:43:14+00:00,46.699966053,7.735003846,,1.291142857,105.142857143,,2025-08-31 06:43:14+02:00
2025-08-31 04:43:15+00:00,46.699952390,7.735001559,,1.318714286,104.714285714,,2025-08-31 06:43:15+02:00
2025-08-31 04:43:16+00:00,46.699938728,7.734999272,,1.346285714,104.285714286,,2025-08-31 06:43:16+02:00
2025-08-31 04:43:17+00:00,46.699925065,7.734996985,,1.373857143,103.857142857,,2025-08-31 06:43:17+02:00
2025-08-31 04:43:18+00:00,46.699911403,7.734994698,,1.401428571,103.428571429,,2025-08-31 06:43:18+02:00
2025-08-31 04:43:19+00:00,46.699897740,7.734992411,,1.429000000,103.000000000,,2025-08-31 06:43:19+02:00
2025-08-31 04:43:20+00:00,46.699883072,7.734993668,,1.467000000,102.000000000,,2025-08-31 06:43:20+02:00
2025-08-31 04:43:21+00:00,46.699870657,7.734999508,,1.466888889,102.000000000,,2025-08-31 06:43:21+02:00
2025-08-31 04:43:22+00:00,46.699858243,7.735005347,,1.466777778,102.000000000,,2025-08-31 06:43:22+02:00
2025-08-31 04:43:23+00:00,46.699845828,7.735011186,,1.466666667,102.000000000,,2025-08-31 06:43:23+02:00
2025-08-31 04:43:24+00:00,46.699833414,7.735017026,,1.466555556,102.000000000,,2025-08-31 06:43:24+02:00
2025-08-31 04:43:25+00:00,46.699820999,7.735022865,,1.466444444,102.000000000,,2025-08-31 06:43:25+02:00
2025-08-31 04:43:26+00:00,46.699808585,7.735028705,,1.466333333,102.000000000,,2025-08-31 06:43:26+02:00
2025-08-31 04:43:27+00:00,46.699796170,7.735034544,,1.466222222,102.000000000,,2025-08-31 06:43:27+02:00
2025-08-31 04:43:28+00:00,46.699783755,7.735040383,,1.466111111,102.000000000,,2025-08-31 06:43:28+02:00
2025-08-31 04:43:29+00:00,46.699771341,7.735046223,,1.466000000,102.000000000,,2025-08-31 06:43:29+02:00
2025-08-31 04:43:30+00:00,46.699761299,7.735048486,,1.430000000,101.400000000,,2025-08-31 06:43:30+02:00
2025-08-31 04:43:31+00:00,46.699751258,7.735050749,,1.394000000,100.800000000,,2025-08-31 06:43:31+02:00
2025-08-31 04:43:32+00:00,46.699741216,7.735053012,,1.358000000,100.200000000,,2025-08-31 06:43:32+02:00
2025-08-31 04:43:33+00:00,46.699731175,7.735055275,,1.322000000,99.600000000,,2025-08-31 06:43:33+02:00
2025-08-31 04:43:34+00:00,46.699721133,7.735057538,,1.286000000,99.000000000,,2025-08-31 06:43:34+02:00
2025-08-31 04:43:35+00:00,46.699710706,7.735056365,,1.261000000,99.200000000,,2025-08-31 06:43:35+02:00
2025-08-31 04:43:36+00:00,46.699700279,7.735055191,,1.236000000,99.400000000,,2025-08-31 06:43:36+02:00
2025-08-31 04:43:37+00:00,46.699689852,7.735054018,,1.211000000,99.600000000,,2025-08-31 06:43:37+02:00
2025-08-31 04:43:38+00:00,46.699679425,7.735052845,,1.186000000,99.800000000,,2025-08-31 06:43:38+02:00
2025-08-31 04:43:39+00:00,46.699668998,7.735051671,,1.161000000,100.000000000,,2025-08-31 06:43:39+02:00
2025-08-31 04:43:40+00:00,46.699660124,7.735047375,,1.152750000,100.000000000,,2025-08-31 06:43:40+02:00
2025-08-31 04:43:41+00:00,46.699651249,7.735043080,,1.144500000,100.000000000,,2025-08-31 06:43:41+02:00
2025-08-31 04:43:42+00:00,46.699642375,7.735038784,,1.136250000,100.000000000,,2025-08-31 06:43:42+02:00
