model_reference,total_waves_detected,min_height_px,max_height_px,min_height_m,max_height_m,median_height_px,median_height_m,mean_height_px,mean_height_m
Model-1,80788,2,6,0.0525862993759058,0.349020769876995,3.0,0.1339962574845284,3.0432242412239443,0.139114311938044
Model-2,175703,2,5,0.0525862993759058,0.3429509350385771,3.0,0.1161127090585136,2.9668873041439245,0.12322270530550743
Model-3,175532,2,11,0.0525862993759058,0.4639926768698657,3.0,0.1437650189518236,3.1938791787252465,0.14948071741781277
Model-4,84693,2,6,0.0525862993759058,0.3578886715709347,3.0,0.1437650189518236,3.414036579174194,0.15178699299866671
