epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,246847,3.78997,2.30434,0.82305,0.0323,0.01265,0.01935,0.0047,4.21033,2.49235,0.82772,0.007162,0.007162,0.007162
45,254350,3.77436,2.29618,0.81776,0.03165,0.01224,0.01762,0.00451,4.20481,2.47189,0.82522,0.007096,0.007096,0.007096
46,256374,3.81063,2.31374,0.82389,0.02972,0.01154,0.0168,0.00429,4.2047,2.46431,0.82692,0.00703,0.00703,0.00703
47,261682,3.82694,2.31586,0.82907,0.03046,0.01194,0.01687,0.00436,4.20303,2.49339,0.82434,0.006964,0.006964,0.006964
48,270433,3.78304,2.30166,0.82232,0.03083,0.01201,0.01756,0.00434,4.20886,2.48381,0.82666,0.006898,0.006898,0.006898
49,279343,3.78917,2.29622,0.82237,0.03393,0.01311,0.01968,0.00512,4.19431,2.45989,0.82598,0.006832,0.006832,0.006832
50,282291,3.78883,2.30626,0.82028,0.03285,0.01265,0.01912,0.00475,4.1921,2.4483,0.82283,0.006766,0.006766,0.006766
51,286732,3.78512,2.32349,0.82158,0.0301,0.01192,0.01667,0.0043,4.21224,2.50788,0.82543,0.0067,0.0067,0.0067
52,294948,3.78358,2.29604,0.82312,0.03503,0.01364,0.01925,0.00484,4.19302,2.43702,0.82385,0.006634,0.006634,0.006634
53,299304,3.78773,2.30903,0.82629,0.03135,0.01229,0.01835,0.00486,4.20573,2.50164,0.82505,0.006568,0.006568,0.006568
54,304621,3.76627,2.28562,0.81799,0.03204,0.01235,0.01747,0.00459,4.18747,2.49559,0.82505,0.006502,0.006502,0.006502
55,309090,3.76461,2.29308,0.81802,0.03344,0.01302,0.01868,0.0049,4.19708,2.45599,0.82397,0.006436,0.006436,0.006436
56,317257,3.79881,2.29761,0.82368,0.03453,0.01317,0.01881,0.00495,4.19188,2.46115,0.82149,0.00637,0.00637,0.00637
57,326754,3.78291,2.29753,0.82071,0.03155,0.01221,0.01759,0.00461,4.19649,2.51258,0.82278,0.006304,0.006304,0.006304
58,333247,3.78166,2.30043,0.82204,0.03256,0.01258,0.01776,0.00451,4.19079,2.46666,0.82529,0.006238,0.006238,0.006238
59,339491,3.76265,2.29707,0.81957,0.03437,0.01336,0.0191,0.00499,4.19407,2.46588,0.82352,0.006172,0.006172,0.006172
60,346639,3.75979,2.26286,0.81774,0.03121,0.01217,0.02075,0.00607,4.18744,2.51257,0.8234,0.006106,0.006106,0.006106
61,354095,3.7818,2.27179,0.82061,0.03187,0.01243,0.01735,0.00467,4.1851,2.47003,0.82332,0.00604,0.00604,0.00604
62,357017,3.78711,2.30424,0.82403,0.03215,0.01251,0.02126,0.00505,4.18105,2.49022,0.8229,0.005974,0.005974,0.005974
63,362115,3.77161,2.28145,0.81508,0.0326,0.01261,0.02149,0.00496,4.19778,2.4646,0.82234,0.005908,0.005908,0.005908
64,372670,3.76017,2.27903,0.81924,0.03431,0.01317,0.02237,0.00667,4.17779,2.47399,0.82196,0.005842,0.005842,0.005842
65,376625,3.78354,2.26568,0.82331,0.03554,0.01378,0.02054,0.00518,4.18275,2.4492,0.82288,0.005776,0.005776,0.005776
66,380427,3.78313,2.28252,0.82534,0.03212,0.0125,0.01832,0.00471,4.18176,2.49061,0.82496,0.00571,0.00571,0.00571
67,385494,3.7708,2.26683,0.82118,0.03306,0.01284,0.01874,0.00487,4.17501,2.48757,0.8225,0.005644,0.005644,0.005644
68,392690,3.76033,2.2566,0.82022,0.03416,0.0131,0.02063,0.00519,4.17936,2.50229,0.82288,0.005578,0.005578,0.005578
69,399548,3.76205,2.26991,0.81932,0.03167,0.01218,0.02099,0.00543,4.17636,2.52499,0.82145,0.005512,0.005512,0.005512
70,406581,3.73871,2.25826,0.81461,0.03242,0.01254,0.02138,0.00517,4.18116,2.51479,0.82044,0.005446,0.005446,0.005446
71,412152,3.75841,2.25568,0.81779,0.03308,0.01275,0.01872,0.00503,4.16899,2.48552,0.82026,0.00538,0.00538,0.00538
72,420992,3.73128,2.23794,0.81641,0.033,0.0126,0.0189,0.0048,4.17575,2.48636,0.82304,0.005314,0.005314,0.005314
73,426969,3.75864,2.26602,0.81852,0.03426,0.01324,0.01915,0.00488,4.16961,2.45611,0.82024,0.005248,0.005248,0.005248
74,433429,3.75677,2.25906,0.81984,0.03412,0.0132,0.01929,0.00481,4.15734,2.46144,0.81982,0.005182,0.005182,0.005182
75,439477,3.74007,2.25735,0.81712,0.03221,0.01239,0.01798,0.00462,4.16609,2.50767,0.81984,0.005116,0.005116,0.005116
76,445380,3.74456,2.25464,0.81542,0.03446,0.01323,0.01901,0.00483,4.16734,2.48659,0.81933,0.00505,0.00505,0.00505
