epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14750.4,3.88712,2.56646,0.84721,0.01758,0.00711,0.01127,0.00277,4.32758,2.82607,0.8455,0.0014588,0.0014588,0.0014588
43,14927.6,3.91848,2.52883,0.85452,0.01782,0.00724,0.01089,0.00294,4.36056,2.82794,0.8331,0.0014456,0.0014456,0.0014456
44,15295.5,3.9318,2.54506,0.86013,0.02124,0.00882,0.01253,0.00317,4.3063,2.53759,0.83723,0.0014324,0.0014324,0.0014324
45,16012.6,3.91616,2.51469,0.85129,0.02237,0.00921,0.01298,0.0032,4.31701,2.54785,0.85449,0.0014192,0.0014192,0.0014192
46,16205,3.901,2.44626,0.84703,0.01402,0.00573,0.00835,0.00214,4.31273,2.99012,0.83192,0.001406,0.001406,0.001406
47,16390.6,3.93432,2.4442,0.85026,0.01566,0.00638,0.0103,0.0025,4.30079,2.77602,0.84146,0.0013928,0.0013928,0.0013928
48,16572.8,3.96072,2.60404,0.8594,0.0199,0.00796,0.01243,0.0029,4.32902,2.66222,0.85305,0.0013796,0.0013796,0.0013796
49,16770.9,3.9441,2.49353,0.85617,0.02,0.00831,0.01178,0.00297,4.31334,2.55869,0.84233,0.0013664,0.0013664,0.0013664
50,16987.9,3.91962,2.41919,0.8502,0.01992,0.00827,0.01194,0.00317,4.30702,2.61649,0.83871,0.0013532,0.0013532,0.0013532
51,17236.4,3.89992,2.47437,0.84959,0.02207,0.00884,0.01436,0.00431,4.29842,2.73531,0.83598,0.00134,0.00134,0.00134
52,17451.6,3.87903,2.45416,0.8436,0.0242,0.00969,0.01365,0.00349,4.29584,2.50398,0.8412,0.0013268,0.0013268,0.0013268
53,17803.7,3.79514,2.42465,0.83125,0.01511,0.0062,0.01002,0.0026,4.3339,2.77534,0.84997,0.0013136,0.0013136,0.0013136
54,18086.2,3.8428,2.45983,0.84062,0.02374,0.00937,0.01686,0.00518,4.29353,2.63994,0.84353,0.0013004,0.0013004,0.0013004
55,18294.3,3.8959,2.47879,0.84572,0.02205,0.009,0.01306,0.00346,4.31556,2.58206,0.8409,0.0012872,0.0012872,0.0012872
56,18808.4,3.90752,2.46857,0.85345,0.02581,0.01057,0.01546,0.00399,4.30245,2.40181,0.84675,0.001274,0.001274,0.001274
57,18988.8,3.8393,2.44293,0.8332,0.01892,0.00758,0.01144,0.00287,4.3272,2.68082,0.84144,0.0012608,0.0012608,0.0012608
58,19178.7,3.85927,2.461,0.83982,0.02125,0.00902,0.01204,0.00299,4.29164,2.75368,0.84056,0.0012476,0.0012476,0.0012476
59,19405.2,3.89071,2.46614,0.85352,0.01978,0.00817,0.01119,0.00284,4.32212,2.62143,0.83951,0.0012344,0.0012344,0.0012344
60,19652.8,3.85636,2.48811,0.84295,0.03151,0.01238,0.0187,0.00507,4.28821,2.5199,0.83331,0.0012212,0.0012212,0.0012212
61,19830.9,3.86924,2.46267,0.83809,0.02014,0.00827,0.01291,0.00326,4.32259,2.68803,0.8415,0.001208,0.001208,0.001208
62,20072.8,3.85584,2.44177,0.84299,0.02509,0.00978,0.01754,0.00558,4.26841,2.54829,0.84084,0.0011948,0.0011948,0.0011948
63,20283.2,3.84386,2.41801,0.83411,0.02154,0.00914,0.01219,0.00315,4.31325,2.6756,0.83552,0.0011816,0.0011816,0.0011816
64,20939.5,3.8692,2.40927,0.83999,0.01782,0.00729,0.01065,0.00286,4.33062,2.7698,0.83531,0.0011684,0.0011684,0.0011684
65,21158.2,3.85518,2.41352,0.84174,0.02152,0.00868,0.01324,0.0033,4.31387,2.66889,0.84234,0.0011552,0.0011552,0.0011552
66,21332.1,3.84466,2.4214,0.84272,0.02108,0.00875,0.01219,0.00309,4.27506,2.70118,0.84246,0.001142,0.001142,0.001142
67,21528,3.87651,2.42044,0.84554,0.0171,0.00709,0.01071,0.00257,4.32047,2.78623,0.84066,0.0011288,0.0011288,0.0011288
68,22077.7,3.84802,2.36969,0.84305,0.02007,0.00822,0.01229,0.00323,4.28581,2.75431,0.83723,0.0011156,0.0011156,0.0011156
69,22243.4,3.83353,2.38045,0.84228,0.02565,0.0102,0.01536,0.00433,4.26417,2.52902,0.83462,0.0011024,0.0011024,0.0011024
70,22493.8,3.85895,2.42183,0.84379,0.02081,0.00853,0.01539,0.0038,4.27809,2.67596,0.83798,0.0010892,0.0010892,0.0010892
71,22965.9,3.83991,2.45126,0.84157,0.01746,0.00732,0.01071,0.00298,4.29103,2.83692,0.83428,0.001076,0.001076,0.001076
72,23193.3,3.88021,2.42054,0.84323,0.01756,0.00723,0.01063,0.00277,4.30951,2.74701,0.8366,0.0010628,0.0010628,0.0010628
73,23798.7,3.82745,2.38249,0.84539,0.01987,0.00814,0.01148,0.00286,4.29714,2.73146,0.83773,0.0010496,0.0010496,0.0010496
74,24191.4,3.85187,2.37242,0.84319,0.02163,0.0089,0.0133,0.00418,4.26441,2.65649,0.8325,0.0010364,0.0010364,0.0010364
75,24389.7,3.92471,2.40964,0.86278,0.02103,0.0086,0.0135,0.00377,4.28558,2.63697,0.84193,0.0010232,0.0010232,0.0010232
76,25001.9,3.92245,2.42056,0.85439,0.02623,0.0106,0.01818,0.00497,4.27265,2.44069,0.84354,0.00101,0.00101,0.00101
77,26193,3.82123,2.47129,0.83699,0.02126,0.00884,0.01252,0.00378,4.295,2.69024,0.84827,0.0009968,0.0009968,0.0009968
78,26375.2,3.85761,2.44109,0.84073,0.0191,0.00758,0.01203,0.00322,4.28908,2.74504,0.83455,0.0009836,0.0009836,0.0009836
79,26543,3.8577,2.42109,0.8458,0.01901,0.00762,0.01198,0.00301,4.27578,2.84757,0.83795,0.0009704,0.0009704,0.0009704
80,26764.2,3.8236,2.38458,0.8346,0.01837,0.00729,0.01416,0.00439,4.28292,2.93834,0.83089,0.0009572,0.0009572,0.0009572
81,26990.9,3.85955,2.42349,0.84088,0.02616,0.0104,0.0148,0.00387,4.28741,2.50272,0.83819,0.000944,0.000944,0.000944
82,27184.9,3.87618,2.44835,0.84614,0.02577,0.01038,0.01508,0.00399,4.27431,2.53285,0.83697,0.0009308,0.0009308,0.0009308
83,27387.1,3.85276,2.41426,0.84471,0.03065,0.01233,0.01717,0.00454,4.24291,2.45348,0.83731,0.0009176,0.0009176,0.0009176
84,27943.6,3.80844,2.36917,0.8349,0.0226,0.009,0.01379,0.00369,4.28625,2.60808,0.84886,0.0009044,0.0009044,0.0009044
85,28127.7,3.8154,2.4351,0.83661,0.02787,0.01113,0.01653,0.00452,4.25451,2.47396,0.84805,0.0008912,0.0008912,0.0008912
86,28307,3.79617,2.37328,0.82549,0.01858,0.00761,0.01042,0.00262,4.28286,2.82891,0.83729,0.000878,0.000878,0.000878
87,28702.8,3.86384,2.37116,0.84628,0.02237,0.00939,0.01368,0.00358,4.27091,2.68299,0.83634,0.0008648,0.0008648,0.0008648
88,28888.4,3.82196,2.35358,0.83832,0.02069,0.00835,0.01533,0.00506,4.28785,2.70698,0.84146,0.0008516,0.0008516,0.0008516
89,29085.9,3.8097,2.35723,0.83622,0.02413,0.00983,0.0154,0.00431,4.27613,2.62244,0.83854,0.0008384,0.0008384,0.0008384
90,30154.5,3.81612,2.33182,0.8316,0.02417,0.0098,0.01408,0.00382,4.27635,2.6779,0.83074,0.0008252,0.0008252,0.0008252
91,30340.9,3.74707,2.35115,0.8205,0.0243,0.0097,0.01548,0.00455,4.24841,2.57125,0.84296,0.000812,0.000812,0.000812
92,31120.8,3.87615,2.3969,0.84511,0.02072,0.00863,0.01201,0.00316,4.27799,2.71931,0.82809,0.0007988,0.0007988,0.0007988
93,31362.5,3.78495,2.34552,0.83296,0.0224,0.00901,0.01341,0.00392,4.2731,2.73883,0.83097,0.0007856,0.0007856,0.0007856
