,Hm0,Hmax,H13,Hmax_obs,n_waves,ratio_mike,ratio_yolo
2025-08-09 03:00:00,0.0003746536385733634,,0.1266121284923186,0.1266121284923186,1,,1.0
2025-08-09 06:20:00,0.0008755240123718977,,0.17722058931549994,0.2857922661754851,2741,,1.6126357963221676
2025-08-09 06:40:00,0.0014904823619872332,,0.19230946060635573,0.2878792196976175,1754,,1.496958177668058
2025-08-09 07:00:00,0.001994734862819314,,0.20926587140204594,0.2868314943849152,1502,,1.3706558669275246
2025-08-09 07:10:00,0.002189572900533676,,0.106266276531952,0.1217274340161228,6,,1.1454944878916686
2025-08-09 07:20:00,0.0022577696945518255,,0.21897786022487686,0.2857922661754851,2333,,1.305119457656559
2025-08-09 07:30:00,0.0022339560091495514,,0.13816098616969733,0.2027738448100796,2174,,1.4676635599649022
2025-08-09 07:40:00,0.0021481842268258333,,0.20002101283362037,0.349020769876995,4673,,1.7449205207620573
2025-08-09 07:50:00,0.0020137480460107327,,0.20981136835132982,0.3076397722850408,4891,,1.4662683662112006
2025-08-09 08:00:00,0.0018912751693278551,,0.21411570027063648,0.2868314943849152,4059,,1.3396098185344087
2025-08-09 08:10:00,0.0019117259653285146,,0.2223097570836179,0.3394093259500493,3010,,1.5267405731651558
2025-08-09 08:20:00,0.001985484268516302,,0.201310708142767,0.2787233078882182,1223,,1.3845428812984513
2025-08-09 08:30:00,0.0020423780661076307,,0.20762767180121922,0.2817095827740226,2077,,1.3568017226708042
2025-08-09 08:40:00,0.0021394018549472094,,0.16341197990991865,0.2857922661754851,17,,1.7489064530827478
2025-08-09 09:20:00,0.0020663198083639145,,0.1900224111347824,0.2155163124296879,40,,1.1341626029406748
2025-08-09 09:30:00,0.001822990132495761,,0.21607496670170043,0.2787233078882182,378,,1.2899379883881048
2025-08-09 09:40:00,0.001668199896812439,,0.21593381876072562,0.277741902782002,752,,1.2862362383808226
2025-08-09 09:50:00,0.0015246879775077105,,0.2175929123499087,0.2817095827740226,839,,1.2946634140408424
2025-08-09 10:00:00,0.0017266760114580393,,0.1986877666451919,0.1986877666451919,1,,1.0
2025-08-09 10:10:00,0.0025537677574902773,,0.21859260047787385,0.277741902782002,112,,1.2705915121317901
2025-08-09 10:20:00,0.003912924323230982,,0.23552242372547505,0.2868314943849152,748,,1.2178521681623231
2025-08-09 10:30:00,0.00673074321821332,,0.22795068259169982,0.2868314943849152,1436,,1.2583050470556447
2025-08-09 10:40:00,0.01166300754994154,0.026879720389842987,0.22768807859120477,0.2868314943849152,1545,2.304698875889669,1.2597563129332632
2025-08-09 10:50:00,0.01913309469819069,0.03963642567396164,0.23253568698366664,0.2878792196976175,1301,2.071616029669776,1.2380001686271844
2025-08-09 11:00:00,0.02811416983604431,0.05828298255801201,0.23704175577697395,0.2868314943849152,621,2.073082111188259,1.210046278322318
2025-08-09 11:10:00,0.03777004033327103,0.07845214754343033,0.23307406734758,0.2817095827740226,574,2.0770999144081688,1.2086697845878887
2025-08-09 11:20:00,0.04694991186261177,0.0977080762386322,0.23421158056849806,0.2857922661754851,444,2.081113091853136,1.2202311494665894
2025-08-09 11:30:00,0.05783285200595856,0.12027667462825775,0.225834565975762,0.2868314943849152,1186,2.0797292621132635,1.2700956257320668
2025-08-09 11:40:00,0.0701419934630394,0.14583663642406464,0.22681498615870263,0.2817095827740226,1029,2.079162983882284,1.2420236755295797
2025-08-09 11:50:00,0.07557126134634018,0.15759192407131195,0.22193478519187143,0.2817095827740226,1458,2.085341984025835,1.2693349649108565
2025-08-09 12:00:00,0.07326892018318176,0.15336965024471283,0.22890051096745284,0.2868314943849152,1087,2.0932429447747953,1.2530836788988187
2025-08-09 12:10:00,0.070842444896698,0.148530513048172,0.21842532327626699,0.2857922661754851,1102,2.096631662907149,1.3084209371365405
2025-08-09 12:20:00,0.06669413298368454,0.14022576808929443,0.2312712251239343,0.2857922661754851,1085,2.1025202940054415,1.2357450263098397
2025-08-09 12:30:00,0.06355556845664978,0.13371996581554413,0.23133237852582395,0.2817095827740226,387,2.103985049032365,1.2177697932698814
2025-08-09 12:40:00,0.06985322386026382,0.14622986316680908,0.21697735637111654,0.3076397722850408,1732,2.0933874642540626,1.417842752950017
2025-08-09 12:50:00,0.06867209821939468,0.1443549543619156,0.2188815326671647,0.2857922661754851,1324,2.1020903409814005,1.3056938275832803
2025-08-09 13:00:00,0.06744636595249176,0.1417311578989029,0.21695254215788648,0.2817095827740226,1590,2.101390577495847,1.298484820560477
2025-08-09 13:10:00,0.08750127255916595,0.18183913826942444,0.21893105103291435,0.2817095827740226,903,2.078131356849351,1.2867502414340943
2025-08-09 13:20:00,0.09930884093046188,0.20665746927261353,0.20655867310288273,0.2419596798389517,118,2.080957418658419,1.1713847509004691
2025-08-09 13:30:00,0.08726773411035538,0.18305812776088715,0.2223097141742772,0.2817095827740226,569,2.0976610614112996,1.2671942106550482
2025-08-09 13:40:00,0.06999660283327103,0.14798374474048615,0.21873844084889038,0.2857922661754851,1143,2.1141560983034737,1.3065479714784887
2025-08-09 13:50:00,0.054118264466524124,0.11521023511886597,0.23955494606607228,0.2817095827740226,297,2.1288604920087826,1.175970638052798
2025-08-09 14:00:00,0.039406225085258484,0.08454212546348572,0.22070177709897504,0.2868314943849152,1253,2.1454002579686877,1.299633823321159
2025-08-09 14:20:00,0.02557644061744213,0.0551789328455925,0.2135002298566554,0.2938855639002729,654,2.1574125059435607,1.3765116978917933
2025-08-09 14:30:00,0.03376482427120209,0.07197505980730057,0.2284107699419777,0.2817095827740226,74,2.1316580601513118,1.2333463209531852
