tz_local,wind_speed_ms,wind_dir_deg,station_id
2025-08-09 20:20:00,0.8,227.0,FRU
2025-08-09 20:30:00,1.0,203.0,FRU
2025-08-09 20:40:00,1.1,225.0,FRU
2025-08-09 20:50:00,0.8,252.0,FRU
2025-08-09 21:00:00,0.9,258.0,FRU
2025-08-09 21:10:00,0.9,222.0,FRU
2025-08-09 21:20:00,1.0,245.0,FRU
2025-08-09 21:30:00,0.8,213.0,FRU
2025-08-09 21:40:00,0.8,256.0,FRU
2025-08-09 21:50:00,0.7,223.0,FRU
2025-08-09 22:00:00,0.7,242.0,FRU
2025-08-09 22:10:00,1.1,229.0,FRU
2025-08-09 22:20:00,1.0,224.0,FRU
2025-08-09 22:30:00,0.7,236.0,FRU
2025-08-09 22:40:00,0.8,206.0,FRU
2025-08-09 22:50:00,1.0,214.0,FRU
2025-08-09 23:00:00,0.5,233.0,FRU
2025-08-09 23:10:00,0.8,287.0,FRU
2025-08-09 23:20:00,0.1,321.0,FRU
2025-08-09 23:30:00,0.3,238.0,FRU
2025-08-09 23:40:00,0.3,37.0,FRU
2025-08-09 23:50:00,0.2,198.0,FRU
