image,number_of_waves,mean_height_m,max_height_m
img_2025_08_09_03_00_00.png,2,0.09450697821797895,0.09503536820423862
img_2025_08_09_06_20_00.png,4458,0.12935220035420772,0.28170958277402264
img_2025_08_09_06_40_00.png,4634,0.11794553450708856,0.28170958277402264
img_2025_08_09_07_00_00.png,4062,0.1332171251232677,0.28170958277402264
img_2025_08_09_07_10_00.png,428,0.10240400258582472,0.2001998661997562
img_2025_08_09_07_20_00.png,2992,0.1403512880479657,0.28170958277402264
img_2025_08_09_07_30_00.png,998,0.11980759312834623,0.28170958277402264
img_2025_08_09_07_40_00.png,2215,0.1362063755447676,0.28170958277402264
img_2025_08_09_07_50_00.png,2299,0.14896375939083537,0.28170958277402264
img_2025_08_09_08_00_00.png,1854,0.1489799170757094,0.28170958277402264
img_2025_08_09_08_10_00.png,1848,0.15379122094029618,0.28170958277402264
img_2025_08_09_08_20_00.png,1396,0.15124556967687833,0.2661234200585206
img_2025_08_09_08_30_00.png,823,0.15885981489328552,0.2646938154290027
img_2025_08_09_08_40_00.png,280,0.15838591163064883,0.26738557735565044
img_2025_08_09_09_10_00.png,165,0.15749938845365857,0.25576853970231106
img_2025_08_09_09_20_00.png,123,0.14013933694423417,0.24618929741267365
img_2025_08_09_09_30_00.png,59,0.13895345531437167,0.173742071208188
img_2025_08_09_09_40_00.png,56,0.14087943013021711,0.237301689943985
img_2025_08_09_09_50_00.png,84,0.14737950349246573,0.237301689943985
img_2025_08_09_10_00_00.png,36,0.14236428641404314,0.237301689943985
img_2025_08_09_10_10_00.png,40,0.1425367896465838,0.23199676132521194
img_2025_08_09_10_20_00.png,147,0.15570608506156675,0.25444774661075625
img_2025_08_09_10_30_00.png,61,0.16890749344529057,0.25444774661075625
img_2025_08_09_10_40_00.png,17,0.1549656228899421,0.20867380493381396
img_2025_08_09_10_50_00.png,53,0.16851261529912037,0.21395660318217677
img_2025_08_09_11_00_00.png,57,0.1302116422269625,0.20867380493381396
img_2025_08_09_11_10_00.png,29,0.16023898037036488,0.20867380493381396
img_2025_08_09_11_20_00.png,75,0.17405069127997705,0.26738557735565044
