image,number_of_waves,mean_height_m,max_height_m
img_2025_08_09_03_00_00.png,1,0.12661212849231865,0.12661212849231865
img_2025_08_09_06_20_00.png,2741,0.1304396241792001,0.28579226617548514
img_2025_08_09_06_40_00.png,1754,0.13813519588683856,0.28787921969761754
img_2025_08_09_07_00_00.png,1502,0.15762466537155911,0.28683149438491523
img_2025_08_09_07_10_00.png,6,0.09156373285947972,0.12172743401612282
img_2025_08_09_07_20_00.png,2333,0.16799677283827957,0.28579226617548514
img_2025_08_09_07_30_00.png,2174,0.11277957022220217,0.20277384481007962
img_2025_08_09_07_40_00.png,4673,0.14889582921991149,0.349020769876995
img_2025_08_09_07_50_00.png,4891,0.1573285091223769,0.3076397722850408
img_2025_08_09_08_00_00.png,4059,0.16522180132856226,0.28683149438491523
img_2025_08_09_08_10_00.png,3010,0.17786431168932862,0.33940932595004936
img_2025_08_09_08_20_00.png,1223,0.16657821267498357,0.2787233078882182
img_2025_08_09_08_30_00.png,2077,0.16886245714966244,0.28170958277402264
img_2025_08_09_08_40_00.png,17,0.13523732482393674,0.28579226617548514
img_2025_08_09_09_20_00.png,40,0.16161953352050226,0.21551631242968797
img_2025_08_09_09_30_00.png,378,0.18069896184211173,0.2787233078882182
img_2025_08_09_09_40_00.png,752,0.1797110013084868,0.27774190278200206
img_2025_08_09_09_50_00.png,839,0.17861681494227644,0.28170958277402264
img_2025_08_09_10_00_00.png,1,0.19868776664519192,0.19868776664519192
img_2025_08_09_10_10_00.png,112,0.18342901823987337,0.27774190278200206
img_2025_08_09_10_20_00.png,748,0.19420364254333977,0.28683149438491523
img_2025_08_09_10_30_00.png,1436,0.18755788714939003,0.28683149438491523
img_2025_08_09_10_40_00.png,1545,0.18594496030100577,0.28683149438491523
img_2025_08_09_10_50_00.png,1301,0.19205003508889856,0.28787921969761754
img_2025_08_09_11_00_00.png,621,0.19243561861301128,0.28683149438491523
img_2025_08_09_11_10_00.png,574,0.19248620195453123,0.28170958277402264
img_2025_08_09_11_20_00.png,444,0.19732221247240594,0.28579226617548514
img_2025_08_09_11_30_00.png,1186,0.1843666411657216,0.28683149438491523
img_2025_08_09_11_40_00.png,1029,0.18692801043680207,0.28170958277402264
img_2025_08_09_11_50_00.png,1458,0.18300174176465067,0.28170958277402264
img_2025_08_09_12_00_00.png,1087,0.1890623788981768,0.28683149438491523
img_2025_08_09_12_10_00.png,1102,0.18041669317653575,0.28579226617548514
img_2025_08_09_12_20_00.png,1085,0.1891322449852625,0.28579226617548514
img_2025_08_09_12_30_00.png,387,0.1949700835227891,0.28170958277402264
img_2025_08_09_12_40_00.png,1732,0.17785423401121864,0.3076397722850408
img_2025_08_09_12_50_00.png,1324,0.1780111488675783,0.28579226617548514
img_2025_08_09_13_00_00.png,1590,0.17566704031198396,0.28170958277402264
img_2025_08_09_13_10_00.png,903,0.1809377479950226,0.28170958277402264
img_2025_08_09_13_20_00.png,118,0.17483068312027975,0.24195967983895172
img_2025_08_09_13_30_00.png,569,0.1835693302223852,0.28170958277402264
img_2025_08_09_13_40_00.png,1143,0.17951383921099015,0.28579226617548514
img_2025_08_09_13_50_00.png,297,0.19839641780539022,0.28170958277402264
img_2025_08_09_14_00_00.png,1253,0.1796097339114297,0.28683149438491523
img_2025_08_09_14_20_00.png,654,0.1742614877187914,0.29388556390027293
img_2025_08_09_14_30_00.png,74,0.2012970665417418,0.28170958277402264
img_2025_08_09_14_40_00.png,508,0.18363976400139703,0.28683149438491523
img_2025_08_09_14_50_00.png,812,0.1812236274378244,0.28170958277402264
img_2025_08_09_15_00_00.png,1,0.08314767151182008,0.08314767151182008
img_2025_08_09_15_10_00.png,417,0.1416927124863613,0.28170958277402264
img_2025_08_09_15_20_00.png,1587,0.16870750367378562,0.28683149438491523
img_2025_08_09_15_30_00.png,935,0.16379090207798183,0.28170958277402264
img_2025_08_09_15_40_00.png,1292,0.1588102894236171,0.28579226617548514
img_2025_08_09_15_50_00.png,4,0.10636516775506542,0.12959335548947737
img_2025_08_09_16_00_00.png,1585,0.10215659786361046,0.17343734255141252
img_2025_08_09_16_10_00.png,1360,0.14268065982107866,0.28170958277402264
