epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9582.37,3.96709,2.49711,0.83539,0.01884,0.00771,0.0119,0.00354,4.39426,2.48626,0.84182,0.0014588,0.0014588,0.0014588
43,9709.75,3.98201,2.53255,0.84201,0.01293,0.00548,0.01143,0.00452,4.37922,2.99102,0.83559,0.0014456,0.0014456,0.0014456
44,9853.97,4.01336,2.55182,0.848,0.0166,0.0072,0.01078,0.00325,4.35625,2.51989,0.83324,0.0014324,0.0014324,0.0014324
45,10285,3.98491,2.53542,0.8407,0.01766,0.00735,0.01131,0.00381,4.36333,2.60792,0.84981,0.0014192,0.0014192,0.0014192
46,10426.4,3.97423,2.49695,0.83293,0.01344,0.00569,0.00794,0.00207,4.36361,2.85205,0.82393,0.001406,0.001406,0.001406
47,10561.1,3.98869,2.47308,0.83627,0.01497,0.00617,0.00912,0.00254,4.35246,2.74252,0.84183,0.0013928,0.0013928,0.0013928
48,10693.9,4.03968,2.59459,0.84509,0.01181,0.00484,0.00659,0.0016,4.40714,2.92352,0.862,0.0013796,0.0013796,0.0013796
49,10824.4,4.03684,2.55771,0.84375,0.01864,0.00779,0.01108,0.00322,4.35509,2.71304,0.8167,0.0013664,0.0013664,0.0013664
50,10977.3,4.00471,2.47954,0.83985,0.01503,0.00624,0.00874,0.0023,4.35784,2.7253,0.82982,0.0013532,0.0013532,0.0013532
51,11113,3.96647,2.50055,0.83584,0.01814,0.00721,0.01004,0.00266,4.37693,2.88639,0.83203,0.00134,0.00134,0.00134
52,11349.8,3.94113,2.47331,0.83429,0.01495,0.00611,0.00845,0.00233,4.35408,2.66453,0.83751,0.0013268,0.0013268,0.0013268
53,11500.2,3.85766,2.41623,0.81759,0.0161,0.0067,0.00907,0.00239,4.36001,2.6941,0.83658,0.0013136,0.0013136,0.0013136
54,11693.2,3.91735,2.48664,0.82849,0.01831,0.00728,0.01056,0.00289,4.35872,2.74644,0.83522,0.0013004,0.0013004,0.0013004
55,11835,3.94572,2.47308,0.83285,0.02338,0.00956,0.01335,0.00351,4.33871,2.43545,0.83165,0.0012872,0.0012872,0.0012872
56,11971.5,3.97582,2.46284,0.83997,0.02595,0.01059,0.01471,0.00374,4.35318,2.39301,0.8339,0.001274,0.001274,0.001274
57,12122.3,3.89787,2.42723,0.81992,0.01912,0.00789,0.01042,0.00263,4.35503,2.62444,0.82605,0.0012608,0.0012608,0.0012608
58,12252.6,3.92598,2.45623,0.82749,0.0236,0.0098,0.01305,0.0034,4.3351,2.54154,0.83568,0.0012476,0.0012476,0.0012476
59,12387.2,3.95404,2.49209,0.83933,0.01606,0.0066,0.00884,0.00225,4.34749,2.70143,0.84097,0.0012344,0.0012344,0.0012344
60,12551.2,3.92795,2.44044,0.82894,0.01738,0.00704,0.00928,0.00236,4.32482,2.58782,0.8486,0.0012212,0.0012212,0.0012212
61,12699.4,3.93274,2.46129,0.82505,0.01694,0.00692,0.00944,0.00234,4.36349,2.71774,0.8316,0.001208,0.001208,0.001208
62,12859.5,3.91191,2.42991,0.8302,0.02388,0.00951,0.01443,0.00342,4.32313,2.50433,0.83277,0.0011948,0.0011948,0.0011948
63,13001.7,3.91133,2.42037,0.82295,0.02382,0.00991,0.01278,0.00324,4.34604,2.49711,0.83188,0.0011816,0.0011816,0.0011816
64,13210.5,3.93941,2.41894,0.82694,0.01583,0.00646,0.00894,0.00228,4.38435,2.81134,0.83986,0.0011684,0.0011684,0.0011684
65,13370.8,3.92665,2.44077,0.8291,0.02037,0.00839,0.01128,0.00293,4.33997,2.59117,0.8252,0.0011552,0.0011552,0.0011552
66,13508.6,3.9235,2.40923,0.83126,0.0221,0.00896,0.01189,0.00301,4.33749,2.60615,0.82663,0.001142,0.001142,0.001142
67,13651.4,3.93803,2.43962,0.83204,0.01697,0.00704,0.01013,0.00252,4.38495,2.55543,0.84887,0.0011288,0.0011288,0.0011288
68,13795,3.93001,2.40949,0.83292,0.0145,0.00606,0.00847,0.00209,4.36452,2.8748,0.8387,0.0011156,0.0011156,0.0011156
69,13925.8,3.9172,2.41599,0.83087,0.02327,0.00942,0.01278,0.00335,4.35345,2.51768,0.82991,0.0011024,0.0011024,0.0011024
70,14102.7,3.92077,2.43975,0.82915,0.02387,0.00981,0.01443,0.00393,4.33797,2.48729,0.82426,0.0010892,0.0010892,0.0010892
71,14747.1,3.93592,2.42759,0.82967,0.01929,0.0081,0.01463,0.00487,4.32557,2.67851,0.82957,0.001076,0.001076,0.001076
72,14899.7,3.95764,2.4075,0.83049,0.01647,0.0071,0.00971,0.00241,4.35943,2.66432,0.83584,0.0010628,0.0010628,0.0010628
73,15778.7,3.91263,2.39646,0.83153,0.01728,0.00729,0.00973,0.00243,4.37632,2.6761,0.83004,0.0010496,0.0010496,0.0010496
74,15918.9,3.91555,2.39761,0.83001,0.023,0.00959,0.01232,0.00305,4.33602,2.50985,0.82639,0.0010364,0.0010364,0.0010364
75,16070.2,3.98817,2.42329,0.84949,0.01788,0.00735,0.01079,0.0028,4.34153,2.57909,0.83616,0.0010232,0.0010232,0.0010232
76,16272.3,3.98793,2.44,0.84056,0.02486,0.01036,0.01436,0.00367,4.33963,2.37608,0.82943,0.00101,0.00101,0.00101
77,16647.3,3.89776,2.46414,0.8261,0.02032,0.00835,0.01139,0.00295,4.35011,2.61804,0.83603,0.0009968,0.0009968,0.0009968
78,16780.2,3.92402,2.40231,0.82759,0.01718,0.00702,0.01044,0.00278,4.36457,2.76416,0.82999,0.0009836,0.0009836,0.0009836
79,16906,3.93102,2.44155,0.83489,0.0174,0.00725,0.01076,0.00291,4.32996,2.78675,0.83521,0.0009704,0.0009704,0.0009704
80,17065.5,3.89847,2.40657,0.82299,0.01902,0.00778,0.01149,0.00301,4.32644,2.78947,0.82939,0.0009572,0.0009572,0.0009572
81,17211.4,3.92081,2.43487,0.82694,0.02267,0.00951,0.01315,0.00328,4.32196,2.50585,0.83858,0.000944,0.000944,0.000944
82,17352.2,3.93829,2.4325,0.83149,0.01663,0.0068,0.00971,0.0024,4.32393,2.76478,0.83439,0.0009308,0.0009308,0.0009308
83,17509,3.91469,2.40701,0.83156,0.02001,0.00819,0.01165,0.00324,4.3417,2.71814,0.83035,0.0009176,0.0009176,0.0009176
84,17993.6,3.87606,2.3568,0.82182,0.02506,0.01006,0.01398,0.00364,4.28126,2.52294,0.83046,0.0009044,0.0009044,0.0009044
85,18131.5,3.88633,2.44547,0.82028,0.02534,0.01024,0.01459,0.00409,4.30108,2.54941,0.83733,0.0008912,0.0008912,0.0008912
86,18260.3,3.86296,2.38777,0.81306,0.02063,0.00846,0.01244,0.00325,4.3327,2.68861,0.83367,0.000878,0.000878,0.000878
87,18413,3.9371,2.39862,0.83183,0.02261,0.00949,0.01352,0.00348,4.32676,2.49043,0.83003,0.0008648,0.0008648,0.0008648
88,18963.3,3.89633,2.35917,0.82635,0.02172,0.00873,0.01299,0.00349,4.34508,2.60277,0.83682,0.0008516,0.0008516,0.0008516
