new_image_name,date,time,season,daytime
img_00001.png,01/05/2022,12:00:00,sommer,afternoon
img_00002.png,02/05/2022,12:00:00,sommer,afternoon
img_00003.png,03/05/2022,12:00:00,sommer,afternoon
img_00004.png,04/05/2022,12:00:00,sommer,afternoon
img_00005.png,05/05/2022,12:00:00,sommer,afternoon
img_00006.png,06/05/2022,12:00:00,sommer,afternoon
img_00007.png,07/05/2022,12:00:00,sommer,afternoon
img_00008.png,08/05/2022,12:00:00,sommer,afternoon
img_00009.png,09/05/2022,12:00:00,sommer,afternoon
img_00010.png,10/05/2022,12:00:00,sommer,afternoon
img_00011.png,11/05/2022,12:00:00,sommer,afternoon
img_00012.png,12/05/2022,12:00:00,sommer,afternoon
img_00013.png,13/05/2022,12:00:00,sommer,afternoon
img_00014.png,14/05/2022,12:00:00,sommer,afternoon
img_00015.png,15/05/2022,12:00:00,sommer,afternoon
img_00016.png,16/05/2022,12:00:00,sommer,afternoon
img_00017.png,17/05/2022,12:00:00,sommer,afternoon
img_00018.png,18/05/2022,12:00:00,sommer,afternoon
img_00019.png,19/05/2022,12:00:00,sommer,afternoon
img_00020.png,20/05/2022,12:00:00,sommer,afternoon
img_00021.png,21/05/2022,12:00:00,sommer,afternoon
img_00022.png,22/05/2022,12:00:00,sommer,afternoon
img_00023.png,23/05/2022,12:00:00,sommer,afternoon
img_00024.png,24/05/2022,12:00:00,sommer,afternoon
img_00025.png,25/05/2022,12:00:00,sommer,afternoon
img_00026.png,26/05/2022,12:00:00,sommer,afternoon
img_00027.png,27/05/2022,12:00:00,sommer,afternoon
img_00028.png,28/05/2022,12:00:00,sommer,afternoon
img_00029.png,29/05/2022,12:00:00,sommer,afternoon
img_00030.png,30/05/2022,12:00:00,sommer,afternoon
img_00031.png,31/05/2022,12:00:00,sommer,afternoon
img_00032.png,01/06/2022,12:00:00,summer,afternoon
img_00033.png,02/06/2022,12:00:00,summer,afternoon
img_00034.png,03/06/2022,12:00:00,summer,afternoon
img_00035.png,04/06/2022,12:00:00,summer,afternoon
img_00036.png,05/06/2022,12:00:00,summer,afternoon
img_00037.png,06/06/2022,12:00:00,summer,afternoon
img_00038.png,07/06/2022,12:00:00,summer,afternoon
img_00039.png,08/06/2022,12:00:00,summer,afternoon
img_00040.png,09/06/2022,12:00:00,summer,afternoon
img_00041.png,10/06/2022,12:00:00,summer,afternoon
img_00042.png,11/06/2022,12:00:00,summer,afternoon
img_00043.png,12/06/2022,12:00:00,summer,afternoon
img_00044.png,13/06/2022,12:00:00,summer,afternoon
img_00045.png,14/06/2022,12:00:00,summer,afternoon
img_00046.png,15/06/2022,12:00:00,summer,afternoon
img_00047.png,16/06/2022,12:00:00,summer,afternoon
img_00048.png,17/06/2022,12:00:00,summer,afternoon
img_00049.png,18/06/2022,12:00:00,summer,afternoon
img_00050.png,19/06/2022,12:00:00,summer,afternoon
img_00051.png,20/06/2022,12:00:00,summer,afternoon
img_00052.png,21/06/2022,12:00:00,summer,afternoon
img_00053.png,22/06/2022,12:00:00,summer,afternoon
img_00054.png,23/06/2022,12:00:00,summer,afternoon
img_00055.png,24/06/2022,12:00:00,summer,afternoon
img_00056.png,25/06/2022,12:00:00,summer,afternoon
img_00057.png,26/06/2022,12:00:00,summer,afternoon
img_00058.png,27/06/2022,12:00:00,summer,afternoon
img_00059.png,28/06/2022,12:00:00,summer,afternoon
img_00060.png,29/06/2022,12:00:00,summer,afternoon
img_00061.png,30/06/2022,12:00:00,summer,afternoon
img_00062.png,01/07/2022,12:00:00,summer,afternoon
img_00063.png,02/07/2022,12:00:00,summer,afternoon
img_00064.png,03/07/2022,12:00:00,summer,afternoon
img_00065.png,04/07/2022,12:00:00,summer,afternoon
img_00066.png,05/07/2022,12:00:00,summer,afternoon
img_00067.png,06/07/2022,12:00:00,summer,afternoon
img_00068.png,07/07/2022,12:00:00,summer,afternoon
img_00069.png,08/07/2022,12:00:00,summer,afternoon
img_00070.png,09/07/2022,12:00:00,summer,afternoon
img_00071.png,10/07/2022,12:00:00,summer,afternoon
img_00072.png,11/07/2022,12:00:00,summer,afternoon
img_00073.png,12/07/2022,12:00:00,summer,afternoon
img_00074.png,13/07/2022,12:00:00,summer,afternoon
img_00075.png,14/07/2022,12:00:00,summer,afternoon
img_00076.png,15/07/2022,12:00:00,summer,afternoon
img_00077.png,16/07/2022,12:00:00,summer,afternoon
img_00078.png,17/07/2022,12:00:00,summer,afternoon
img_00079.png,18/07/2022,12:00:00,summer,afternoon
img_00080.png,19/07/2022,12:00:00,summer,afternoon
img_00081.png,20/07/2022,12:00:00,summer,afternoon
img_00082.png,21/07/2022,12:00:00,summer,afternoon
img_00083.png,22/07/2022,12:00:00,summer,afternoon
img_00084.png,23/07/2022,12:00:00,summer,afternoon
img_00085.png,24/07/2022,12:00:00,summer,afternoon
img_00086.png,25/07/2022,12:00:00,summer,afternoon
img_00087.png,26/07/2022,12:00:00,summer,afternoon
img_00088.png,27/07/2022,12:00:00,summer,afternoon
img_00089.png,28/07/2022,12:00:00,summer,afternoon
img_00090.png,29/07/2022,12:00:00,summer,afternoon
img_00091.png,30/07/2022,12:00:00,summer,afternoon
img_00092.png,31/07/2022,12:00:00,summer,afternoon
img_00093.png,01/08/2022,12:00:00,summer,afternoon
img_00094.png,02/08/2022,12:00:00,summer,afternoon
img_00095.png,03/08/2022,12:00:00,summer,afternoon
img_00096.png,04/08/2022,12:00:00,summer,afternoon
img_00097.png,05/08/2022,12:00:00,summer,afternoon
img_00098.png,06/08/2022,12:00:00,summer,afternoon
img_00099.png,07/08/2022,12:00:00,summer,afternoon
img_00100.png,08/08/2022,12:00:00,summer,afternoon
img_00101.png,09/08/2022,12:00:00,summer,afternoon
img_00102.png,10/08/2022,12:00:00,summer,afternoon
img_00103.png,11/08/2022,12:00:00,summer,afternoon
img_00104.png,12/08/2022,12:00:00,summer,afternoon
img_00105.png,13/08/2022,12:00:00,summer,afternoon
img_00106.png,14/08/2022,12:00:00,summer,afternoon
img_00107.png,15/08/2022,12:00:00,summer,afternoon
img_00108.png,16/08/2022,12:00:00,summer,afternoon
img_00109.png,17/08/2022,12:00:00,summer,afternoon
img_00110.png,18/08/2022,12:00:00,summer,afternoon
img_00111.png,19/08/2022,12:00:00,summer,afternoon
img_00112.png,20/08/2022,12:00:00,summer,afternoon
img_00113.png,21/08/2022,12:00:00,summer,afternoon
img_00114.png,22/08/2022,12:00:00,summer,afternoon
img_00115.png,23/08/2022,12:00:00,summer,afternoon
img_00116.png,24/08/2022,12:00:00,summer,afternoon
img_00117.png,25/08/2022,12:00:00,summer,afternoon
img_00118.png,26/08/2022,12:00:00,summer,afternoon
img_00119.png,27/08/2022,12:00:00,summer,afternoon
img_00120.png,28/08/2022,12:00:00,summer,afternoon
img_00121.png,29/08/2022,12:00:00,summer,afternoon
img_00122.png,30/08/2022,12:00:00,summer,afternoon
img_00123.png,31/08/2022,12:00:00,summer,afternoon
img_00124.png,01/09/2022,12:00:00,autumn,afternoon
img_00125.png,02/09/2022,12:00:00,autumn,afternoon
img_00126.png,03/09/2022,12:00:00,autumn,afternoon
img_00127.png,04/09/2022,12:00:00,autumn,afternoon
img_00128.png,05/09/2022,12:00:00,autumn,afternoon
img_00129.png,06/09/2022,12:00:00,autumn,afternoon
img_00130.png,07/09/2022,12:00:00,autumn,afternoon
