,Hm0,Hmax,H13,Hmax_obs,n_waves,ratio_mike,ratio_yolo
2025-08-24 02:00:00,0.0,,0.08154875495516606,0.0822231720521245,6,,1.0082701090572042
2025-08-24 02:20:00,8.894866914488375e-05,,0.11023856273761548,0.1348364450775765,344,,1.2231331915902035
2025-08-24 02:40:00,0.00013847647642251104,,0.13763213761751772,0.2197185295776846,3688,,1.596418782568694
2025-08-24 03:00:00,0.00020968684111721814,,0.1087355196885939,0.1293100940105935,258,,1.18921668265276
2025-08-24 03:20:00,0.00027077499544247985,,0.12361224953056113,0.1756773790340467,2785,,1.4211971685752172
2025-08-24 03:40:00,0.0003295769856777042,,0.13129470692870768,0.2347585918710144,2933,,1.7880278448581104
2025-08-24 04:00:00,0.0003943875490222126,,0.11711364615758231,0.2147332029425608,452,,1.8335455345112084
2025-08-24 04:20:00,0.0005481453845277429,,0.13718215963518213,0.2857922661754851,3164,,2.0833049059404805
2025-08-24 04:40:00,0.0006774529465474188,,0.1310721960405354,0.2857922661754851,2555,,2.1804186914446824
2025-08-24 05:00:00,0.0007472884026356041,,0.13432458866414332,0.2221942010646435,2877,,1.6541588049839764
2025-08-24 06:40:00,0.0007141497335396707,,0.1768650193378776,0.3165281170343724,3934,,1.7896592453349218
2025-08-24 07:00:00,0.000626182125415653,,0.18698825875905914,0.2857922661754851,1799,,1.5283968526801373
2025-08-24 07:10:00,0.0006254958570934832,,0.19533064478711532,0.2817095827740226,1065,,1.442219079761135
2025-08-24 07:20:00,0.0006165920640341938,,0.200703155099884,0.2710609256866144,536,,1.3505563754177925
2025-08-24 07:30:00,0.000601539621129632,,0.19450189745386257,0.2701326486371134,391,,1.3888432564067457
2025-08-24 07:40:00,0.0006155529408715665,,0.17578818786782982,0.2247262974151421,425,,1.2783924798411794
2025-08-24 07:50:00,0.0006282459362410009,,0.19281911818668943,0.2817095827740226,534,,1.461004413998349
2025-08-24 08:00:00,0.0006257091299630702,,0.19443930965413195,0.246496362329933,508,,1.2677290552429958
2025-08-24 08:10:00,0.0006352199707180262,,0.17680991018400496,0.2404843354515995,449,,1.3601292778291045
