scenario,date,rep_point,n_bins,MAD_Hm0_vs_H13_m,Bias_(YOLO-Hm0)_m,Corr_Hm0_H13,MAD_Hmax_m,Bias_(YOLO-Hmax)_m,Mean_ratio_mike,Mean_ratio_yolo,Median_ratio_mike,Median_ratio_yolo
high_wind_2025-10-23,2025-10-23,1-Point-06-50,74,0.2647168213537697,-0.2199648754889229,0.4840755374620985,0.6573613050491816,-0.6184162045460274,2.0769276681653586,1.4476103634414066,2.064182562284197,1.4938092712932662
low_wind_2025-08-09,2025-08-09,1-Point-06-50,76,0.143913927459834,0.10624326501441272,-0.21213187140560205,0.16832551262124096,0.007911818146368113,2.0888098432078483,1.3802050710753988,2.081325435377119,1.3482057706026065
moderate_2025-08-24,2025-08-24,1-Point-06-50,79,0.14094003443432862,0.11030194589886633,0.13772769435650192,0.19308302481414544,0.01565707137063315,2.0972676858730868,1.362370264188552,2.081972480069169,1.3505563754177925
