,Hm0,Hmax,H13,Hmax_obs,n_waves,ratio_mike,ratio_yolo
2025-10-23 02:00:00,0.0,,0.09716652127673346,0.1117272246845661,8,,1.1498530894850427
2025-10-23 02:20:00,0.0005783039960078895,,0.11439852208048908,0.1502461971748456,122,,1.3133578515038389
2025-10-23 02:40:00,0.0011120742419734597,,0.11231834334120193,0.1758073292317484,903,,1.5652592800240912
2025-10-23 03:00:00,0.0015324335545301437,,0.10094677242651309,0.1156589495160251,222,,1.1457419265209507
2025-10-23 03:20:00,0.002779675181955099,,0.0792492768833689,0.0792492768833689,3,,1.0
2025-10-23 03:40:00,0.021175632253289223,0.04627377167344093,0.1300436221382324,0.2240878783023551,2445,2.1852368382650393,1.7231746902908975
2025-10-23 04:00:00,0.06122300773859024,0.12996315956115723,0.10853789391449,0.2147332029425608,344,2.122782992238366,1.9784168938429487
2025-10-23 04:20:00,0.054196786135435104,0.11692308634519577,0.11292652938887861,0.1752869886221216,749,2.157380440475026,1.5522215158007369
2025-10-23 04:40:00,0.044772014021873474,0.09712998569011688,0.16463483725513275,0.2868314943849152,4416,2.169435255752931,1.7422284321295598
2025-10-23 05:00:00,0.05604950338602066,0.12093444168567657,0.1690092538762487,0.2857922661754851,5141,2.1576362747192315,1.690985905332419
2025-10-23 05:20:00,0.23067086935043335,0.4778221547603607,0.10181109049450757,0.1182599584493636,38,2.0714455887121885,1.1615626340407719
2025-10-23 05:40:00,0.2760672867298126,0.5713481903076172,0.10302469528847875,0.1217274340161228,97,2.0695975864275304,1.181536462449849
2025-10-23 06:00:00,0.271097868680954,0.5614343881607056,0.10674648964237886,0.1168583679501903,103,2.070965702874776,1.094727970368751
2025-10-23 08:00:00,0.038504838943481445,0.08356352150440216,0.2787233078882182,0.2787233078882182,1,2.1702083114036443,1.0
2025-10-23 08:10:00,0.03551514074206352,0.07772423326969147,0.2147332029425608,0.2147332029425608,1,2.1884816347534906,1.0
2025-10-23 08:20:00,0.035994794219732285,0.07896072417497635,0.20392440711372978,0.2868314943849152,95,2.1936706650677342,1.4065579419581082
2025-10-23 08:30:00,0.07403939962387085,0.15877243876457214,0.19668311051235726,0.2868314943849152,5826,2.1444317427093607,1.4583432895571073
2025-10-23 08:40:00,0.30829256772994995,0.6453894376754761,0.18394393532495684,0.3057319544006907,4947,2.093431711402162,1.6620931473526548
2025-10-23 08:50:00,0.5169655680656433,1.0738160610198975,0.183926415759103,0.3019864365811877,9147,2.0771519949343054,1.641887247869351
2025-10-23 09:00:00,0.5674809217453003,1.1734144687652588,0.17816755554591635,0.3029141859256983,5476,2.0677602079668094,1.7001646848526972
2025-10-23 09:10:00,0.5827575922012329,1.2040636539459229,0.15509206656703675,0.2536295980668352,1700,2.0661483780895056,1.6353486266636776
2025-10-23 09:20:00,0.584629476070404,1.2075756788253784,0.19277880300553593,0.2938855639002729,4643,2.065540189560945,1.5244703220396774
2025-10-23 09:30:00,0.5271332859992981,1.0877671241760254,0.17078158178857666,0.2817095827740226,2449,2.0635523368893725,1.6495314062775928
2025-10-23 09:40:00,0.5085936188697815,1.0496158599853516,0.19864571102833273,0.3029141859256983,6171,2.0637613627906948,1.5248966834350317
2025-10-23 09:50:00,0.5705937147140503,1.1778095960617065,0.24604977022333477,0.3206454978646614,1181,2.064182562284197,1.303173327793062
2025-10-23 10:00:00,0.5320720672607422,1.098267674446106,0.21059922713901658,0.2857922661754851,2038,2.064133304535792,1.3570432810127722
2025-10-23 10:10:00,0.5059038996696472,1.0437246561050415,0.19715456842497256,0.2857922661754851,1489,2.0630887739481523,1.4495848027191098
2025-10-23 10:20:00,0.38759616017341614,0.7979335188865662,0.14171597403326264,0.1722252361638551,39,2.0586724041062716,1.2152845671683528
2025-10-23 10:30:00,0.3469398617744446,0.7152367830276489,0.21668832145723496,0.2857922661754851,143,2.0615583904643526,1.3189094098543206
2025-10-23 10:40:00,0.39292463660240173,0.8086660504341125,0.2202757998622092,0.2868314943849152,413,2.058069092909532,1.3021471017893889
2025-10-23 10:50:00,0.509194552898407,1.0463775396347046,0.18865036430411217,0.2857922661754851,854,2.0549660904237417,1.5149308999731173
2025-10-23 11:00:00,0.44632911682128906,0.9165396690368652,0.18681536372396987,0.2807070730462966,371,2.053506335334715,1.5025909403311013
2025-10-23 11:10:00,0.37997308373451233,0.7815255522727966,0.2022531677059671,0.2022531677059671,3,2.056791877444797,1.0
2025-10-23 11:20:00,0.3665732145309448,0.7524996995925903,0.21465487454130247,0.2857922661754851,136,2.0527951027612983,1.3314035695028898
2025-10-23 11:30:00,0.34293273091316223,0.7044867277145386,0.2002643448956744,0.2870411539513656,4279,2.0543000542369616,1.4333113270906843
2025-10-23 11:40:00,0.3201853334903717,0.6591376066207886,0.19228179603569356,0.2878792196976175,6517,2.058612739801242,1.4971735527380763
2025-10-23 11:50:00,0.36407655477523804,0.7482506632804871,0.1997800218427211,0.3292101951130066,3351,2.0552014499874023,1.6478634453858492
2025-10-23 12:00:00,0.4547730088233948,0.9327985048294067,0.19581638586560562,0.3477896748896899,8673,2.05112987519373,1.776100980274388
2025-10-23 12:10:00,0.5243145227432251,1.0771058797836304,0.1921584454707246,0.2868314943849152,985,2.0543125033962224,1.4926822169188187
2025-10-23 12:20:00,0.5986608862876892,1.2330001592636108,0.147045792656282,0.1975261170678039,43,2.059596989723974,1.3432966254908028
2025-10-23 12:30:00,0.5823767781257629,1.200144648551941,0.151619367448349,0.2868314943849152,3267,2.060770095288333,1.8917866444907037
